Id,MSSubClass,Neighborhood,HouseStyle,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,CentralAir,MoSold,YrSold,SaleCondition,SalePrice
54,70,Somerst,2Story,54.5,16120,6,2,1929,1964,TA,TA,996,1034,1622,2,1,5,2,TA,9,1,1932.0,2,462,0,84,550,Y,6,2008,Normal,440355
55,60,BrkSide,2Story,45.9,14920,8,2,1994,2002,Gd,Gd,626,946,1494,1,1,1,1,TA,5,1,1994.0,1,353,0,78,0,Y,2,2009,Partial,341476
56,50,Somerst,2Story,,12415,6,7,1995,2010,TA,Gd,874,1186,1586,1,1,3,2,Ex,6,2,1996.0,3,839,0,157,0,Y,9,2006,Family,498210
57,40,BrkSide,1Story,74.6,4907,6,8,1900,1936,TA,Gd,1146,778,1409,2,1,1,2,TA,6,2,1901.0,1,317,0,139,0,Y,8,2010,Normal,330131
58,70,Mitchel,2Story,80.6,4923,10,7,1966,1991,Gd,TA,1304,1565,1816,3,0,1,1,Ex,4,1,1969.0,1,269,0,11,0,Y,4,2009,Normal,431256
59,90,Somerst,1Story,70.6,12740,5,4,1971,1976,Gd,Ex,2149,1741,2548,2,0,3,1,TA,6,0,1975.0,3,818,200,99,0,Y,6,2010,Normal,530095
60,50,NAmes,1Story,47.9,4849,6,8,1941,1948,TA,TA,1044,1197,1495,3,0,2,1,TA,5,1,1944.0,2,557,150,159,0,N,7,2009,Normal,403501
61,60,Edwards,2Story,,9553,7,2,1952,1960,TA,Gd,1579,1055,1815,1,1,1,2,TA,4,2,,0,0,0,146,0,N,9,2008,Normal,375491
62,90,OldTown,1Story,65.7,11777,6,8,1987,1991,Gd,TA,2185,1634,2607,2,1,5,2,TA,8,1,1990.0,1,292,0,100,0,Y,7,2008,Normal,409329
63,40,Somerst,2Story,69.5,5722,10,9,1941,1971,Ex,TA,675,1234,1486,3,0,2,1,Gd,4,1,1944.0,1,238,250,123,0,Y,1,2009,Normal,484310
64,80,Gilbert,2Story,122.3,6198,10,7,1907,1945,Gd,Gd,2457,1802,2621,2,0,5,2,Gd,9,2,1907.0,2,690,250,112,0,Y,7,2008,Normal,536498
65,40,Somerst,2Story,89.1,10105,6,9,1941,1961,TA,Fa,674,1069,1653,3,0,1,2,Gd,5,1,1943.0,2,537,0,46,0,Y,5,2009,Abnorml,460768
66,40,CollgCr,2Story,,12615,6,6,1928,1951,Gd,TA,1825,1636,2505,1,0,3,2,Gd,7,1,1931.0,2,524,150,112,0,Y,5,2007,Normal,487259
67,40,Edwards,2Story,129.9,14958,7,5,1942,1972,Gd,Fa,1701,1316,2035,3,1,4,2,TA,9,1,1945.0,3,500,0,135,0,Y,5,2009,Normal,409653
68,20,NridgHt,1Story,78.5,13050,3,4,1925,1941,Gd,TA,1003,1430,1722,3,0,3,1,Gd,5,2,1926.0,2,611,0,11,0,Y,5,2007,Normal,514205
69,50,NAmes,1Story,72.6,10809,5,9,1916,1934,TA,TA,1162,997,1593,2,0,3,1,Gd,7,1,1916.0,1,284,150,139,0,Y,3,2008,Abnorml,373854
70,40,OldTown,1Story,55.1,7366,3,7,2009,2010,TA,Gd,764,910,1275,2,0,4,2,TA,9,0,,0,0,250,49,0,Y,4,2006,Normal,274597
71,30,BrkSide,1Story,60.0,6002,3,3,1914,1926,TA,TA,698,1385,1611,3,1,1,1,TA,3,1,1915.0,2,528,150,1,0,Y,9,2010,Abnorml,296592
72,80,NAmes,1Story,25.0,8354,2,9,1978,1980,TA,TA,802,1547,1981,2,1,5,1,TA,9,2,1982.0,1,257,250,151,0,Y,3,2009,Normal,333850
73,60,Somerst,1.5Fin,87.4,12222,7,2,1979,2001,TA,TA,755,1366,1669,1,1,4,2,TA,7,2,1982.0,1,265,200,77,0,Y,10,2007,Partial,453746
74,30,OldTown,1Story,42.1,11914,2,6,1968,2000,Gd,Gd,635,927,1398,3,1,4,2,TA,7,2,1972.0,3,896,200,82,0,Y,6,2006,Normal,323560
75,30,CollgCr,1Story,,1680,7,3,2001,2003,Gd,Gd,1144,1508,1555,1,1,3,2,Ex,8,2,2001.0,3,917,200,124,0,Y,8,2010,Normal,473931
76,80,Somerst,1Story,69.1,7200,5,7,1900,1908,Ex,Ex,1448,1547,2101,2,1,2,2,TA,5,2,1903.0,1,271,200,112,0,Y,2,2006,Normal,454964
77,40,Gilbert,1Story,72.8,15559,5,5,1933,1943,Gd,Gd,1440,1503,2213,1,1,3,2,Gd,6,1,1933.0,2,636,0,124,0,Y,3,2008,Normal,422255
78,50,CollgCr,2Story,69.1,10833,8,5,1920,1952,Fa,TA,1077,1320,1380,3,0,4,1,Gd,6,1,1922.0,3,831,250,188,0,Y,11,2006,Normal,434761
79,20,NAmes,2Story,100.5,4549,6,7,1964,1984,Gd,NA,544,1123,1329,3,0,5,1,Fa,7,1,,0,0,250,130,0,Y,10,2009,Normal,335724
80,80,CollgCr,2Story,96.6,20394,8,8,1970,1991,TA,Gd,1033,1555,1882,2,0,5,1,Gd,7,2,1974.0,1,288,150,9,0,Y,1,2007,Normal,464755
81,40,NridgHt,2Story,69.4,10378,8,5,1999,2010,Gd,Ex,2014,2309,2433,2,1,1,2,Gd,6,1,2002.0,2,451,150,44,0,Y,11,2008,Normal,610800
82,70,BrkSide,1Story,,12114,2,9,1942,1953,TA,Gd,1891,1210,2100,2,1,1,2,Gd,4,0,1944.0,1,289,250,89,0,Y,11,2008,Normal,359287
83,50,CollgCr,1.5Fin,90.3,12178,3,5,1926,1954,Gd,Gd,624,903,974,2,1,5,2,Fa,10,0,1928.0,3,655,0,94,0,Y,2,2007,Normal,342600
84,80,Edwards,1Story,48.6,8956,7,3,2002,2003,Gd,TA,689,1324,1548,3,0,2,2,TA,5,0,2005.0,1,239,0,72,0,Y,3,2009,Normal,346332
85,50,Edwards,1Story,35.8,7444,10,2,1974,1978,Gd,Ex,1094,928,1303,1,1,3,2,Ex,8,1,,0,0,250,36,0,Y,3,2008,Abnorml,384437
86,90,Edwards,1Story,81.0,19411,3,3,1984,2010,TA,NA,1283,963,1447,3,1,1,1,TA,5,2,1986.0,1,273,100,21,0,Y,11,2008,Normal,291876
87,70,OldTown,2Story,96.8,14713,2,7,1949,1975,TA,Fa,1456,1385,2320,2,1,1,2,Gd,5,2,1952.0,1,344,200,28,0,Y,11,2007,Normal,360605
88,50,NAmes,1Story,,13952,10,6,1949,1956,TA,TA,570,1039,1067,3,1,3,2,TA,8,2,1952.0,3,826,100,190,0,Y,9,2008,Partial,397812
89,50,Gilbert,1Story,78.9,12920,10,4,1943,1960,TA,NA,413,597,973,2,1,4,2,Gd,7,2,,0,0,100,79,0,Y,4,2007,Normal,381564
90,60,Edwards,2Story,60.9,6286,3,5,1983,1985,TA,TA,854,785,1177,3,0,4,1,Gd,8,0,,0,0,0,192,0,Y,12,2008,Normal,290214
91,70,Edwards,1Story,85.9,15866,5,8,1923,1949,Fa,NA,1587,1518,1763,2,0,5,2,TA,8,2,,0,0,0,66,0,Y,11,2009,Normal,362083
92,70,OldTown,2Story,94.1,6959,7,6,2008,2010,Ex,Gd,1525,1716,1973,2,0,1,1,TA,4,2,2009.0,2,499,0,62,0,Y,11,2008,Normal,441788
93,20,Mitchel,1Story,64.2,11690,3,2,1919,1930,Gd,NA,1025,1111,1785,1,0,2,1,Gd,6,2,1923.0,3,765,100,97,0,Y,5,2006,Normal,384794
94,40,NridgHt,1Story,47.4,3615,4,2,1951,1965,Gd,Gd,1631,1983,2164,1,1,3,1,Ex,7,1,1953.0,2,560,0,189,0,Y,9,2010,Normal,593825
95,50,Somerst,1Story,37.9,1928,5,5,1934,1943,TA,Gd,668,607,779,1,0,3,1,Fa,5,0,1935.0,3,764,200,112,0,Y,9,2009,Normal,375593
96,60,OldTown,2Story,,11837,7,5,1971,1986,TA,NA,1486,2092,2245,2,0,1,2,Gd,6,2,1972.0,3,773,0,7,0,Y,2,2010,Normal,394005
97,20,BrkSide,1Story,45.0,7102,4,8,1975,1985,TA,Gd,1234,855,1450,3,0,3,1,Gd,7,0,1977.0,2,639,200,54,0,Y,7,2006,Normal,345963
98,30,BrkSide,1Story,78.2,2145,5,6,2001,2010,TA,Gd,1216,1125,1976,3,1,5,1,TA,9,2,2001.0,2,642,0,196,0,Y,7,2010,Normal,395750
99,50,NAmes,1Story,,12771,4,8,1987,2004,Gd,Ex,571,807,965,3,0,1,2,Gd,6,2,,0,0,0,30,0,N,8,2008,Normal,294631
100,50,Mitchel,SLvl,59.0,19404,8,6,1927,1961,TA,Gd,1227,1051,1702,2,1,5,2,Gd,10,2,1930.0,3,742,0,167,0,Y,5,2010,Normal,410546
101,60,NridgHt,1.5Fin,66.3,16336,3,4,1922,1952,TA,Gd,1107,1327,1688,2,1,3,2,Gd,8,1,1926.0,3,784,200,185,0,Y,9,2009,Normal,512192
102,20,NAmes,2Story,92.0,9419,4,7,1998,2009,TA,TA,2020,1199,2155,3,0,3,1,Ex,7,2,2002.0,3,912,200,42,0,Y,11,2010,Partial,447642
103,80,Sawyer,1Story,52.2,10537,4,6,1954,1991,Gd,TA,574,756,839,1,1,4,1,TA,6,2,1955.0,3,977,100,111,0,Y,8,2006,Normal,314506
104,40,CollgCr,SLvl,50.0,14228,10,7,1910,1918,Gd,Fa,1080,1685,1765,3,1,4,2,TA,9,2,1913.0,1,388,150,119,0,Y,11,2008,Normal,453731
105,60,NAmes,2Story,64.8,15213,10,3,1991,2010,Gd,Ex,759,1140,1229,3,1,4,1,Gd,6,1,,0,0,150,158,0,Y,10,2009,Normal,387314
106,90,CollgCr,2Story,98.1,9057,6,7,1971,1983,TA,Fa,1327,1857,1893,3,0,1,2,TA,5,1,1975.0,3,790,150,159,0,Y,4,2008,Normal,447458
107,50,Somerst,1Story,105.4,10644,3,4,1902,1923,TA,TA,1159,1863,1948,1,1,2,1,Gd,5,2,1906.0,1,304,200,12,0,Y,9,2010,Normal,414717
108,40,NridgHt,1Story,67.8,11763,8,8,1986,1994,Gd,TA,1849,1738,2318,3,0,5,1,Ex,7,0,1988.0,3,758,0,63,0,Y,9,2009,Normal,629216
109,40,Somerst,1Story,54.3,12826,6,8,1967,1997,TA,TA,849,1016,1393,2,0,1,2,TA,4,0,1970.0,2,549,100,188,0,Y,12,2006,Normal,439630
110,70,CollgCr,1.5Fin,93.4,9941,9,6,1968,1980,TA,NA,1327,2069,2170,2,1,4,1,Gd,6,1,1972.0,1,263,200,70,0,Y,5,2006,Normal,470279
111,90,CollgCr,1Story,33.3,9996,5,9,1996,2010,Fa,Gd,1684,2203,2278,1,0,3,2,TA,7,1,1996.0,1,175,100,49,0,Y,2,2009,Normal,465961
112,60,BrkSide,1Story,75.4,16295,10,6,1955,1958,TA,TA,417,949,961,2,1,1,1,Gd,4,2,1956.0,2,570,0,125,0,Y,9,2007,Normal,353515
113,30,Mitchel,1Story,69.0,15580,9,2,1951,1971,TA,NA,1535,1808,2019,2,1,1,2,TA,5,2,1954.0,1,273,150,39,0,Y,8,2007,Normal,425329
114,90,Sawyer,2Story,,12505,4,6,1968,1974,TA,TA,1396,1320,2060,3,1,5,1,TA,7,0,1968.0,1,331,0,29,0,Y,8,2010,Normal,398650
115,20,CollgCr,1Story,,17720,8,8,1921,1956,TA,Gd,1023,1537,1576,2,0,1,1,Gd,4,0,,0,0,100,159,0,Y,9,2006,Normal,426735
116,50,BrkSide,1.5Fin,49.3,8877,4,2,1916,1932,TA,TA,811,995,1019,1,1,1,2,Fa,4,2,1917.0,2,460,100,23,0,Y,7,2008,Normal,272168
117,30,NridgHt,2Story,,17316,5,2,1993,2010,Gd,TA,1697,1765,2078,3,1,1,2,Gd,6,1,,0,0,150,178,0,Y,1,2007,Normal,557406
118,20,Gilbert,2Story,57.4,12779,4,4,1923,1958,Fa,Gd,886,958,1024,1,1,4,2,Ex,7,0,,0,0,250,49,550,Y,11,2006,Normal,317647
119,90,CollgCr,1Story,63.5,24238,8,8,1955,1976,TA,TA,979,1296,1614,3,0,5,2,Gd,8,1,,0,0,150,21,0,Y,4,2007,Normal,436886
120,20,Mitchel,2Story,83.6,5492,4,6,1929,1931,TA,Fa,917,1541,1581,3,0,1,1,TA,3,2,1932.0,2,611,250,148,0,Y,3,2008,Normal,372692
121,90,Somerst,2Story,,7605,7,9,1925,1933,TA,TA,1600,1195,2018,1,0,4,2,TA,8,1,,0,0,0,35,0,Y,10,2008,Partial,436278
122,60,NAmes,2Story,74.3,12259,7,8,1966,1974,TA,Gd,989,1290,1374,3,0,4,2,Fa,9,1,1968.0,1,317,200,73,0,Y,10,2006,Normal,345818
123,40,OldTown,1Story,91.1,12168,8,6,1989,2010,Gd,TA,1025,789,1371,3,0,2,2,TA,6,1,,0,0,0,70,0,Y,7,2009,Normal,347969
124,80,Somerst,1Story,103.3,18691,10,7,1949,1985,Gd,TA,1268,1263,1797,2,0,1,1,Gd,4,2,1953.0,2,541,200,101,0,Y,9,2007,Normal,499203
125,20,NAmes,1Story,76.4,7693,2,4,1915,1934,Gd,TA,1677,1242,2033,3,1,3,2,TA,8,1,,0,0,0,94,200,Y,1,2008,Normal,349363
126,70,Edwards,1Story,72.6,14301,10,2,1927,1962,Gd,TA,1437,2180,2848,1,0,1,1,Fa,3,2,,0,0,100,39,0,Y,4,2008,Normal,424902
127,80,Somerst,1Story,45.6,15382,2,5,1918,1927,Ex,TA,583,541,826,2,1,1,1,TA,5,2,1920.0,1,307,0,46,0,Y,3,2008,Normal,360467
128,40,Mitchel,1Story,104.9,13460,6,6,1997,2010,TA,Fa,877,1763,1801,2,0,3,1,TA,6,1,2000.0,2,611,150,38,0,Y,6,2008,Normal,409134
129,40,NAmes,1Story,80.9,6464,5,3,1935,1950,Gd,TA,689,885,1103,2,1,5,2,TA,8,1,,0,0,0,11,0,Y,5,2007,Normal,298599
130,20,Gilbert,2Story,,16413,7,3,1941,1950,TA,Fa,1656,2064,2164,3,1,5,1,Gd,7,2,1943.0,1,265,0,130,0,Y,1,2008,Normal,462251
131,20,Mitchel,1Story,71.9,15663,8,2,1907,1917,TA,TA,839,844,1249,3,0,4,1,TA,6,0,1910.0,3,1000,0,94,550,Y,9,2008,Normal,363144
132,20,BrkSide,SLvl,,13018,9,7,1949,1965,Gd,Gd,853,787,1401,2,0,2,2,Fa,7,0,1951.0,2,476,0,21,0,Y,8,2006,Normal,366964
133,50,Mitchel,2Story,87.0,11358,5,9,2001,2010,TA,TA,1190,1207,1342,2,1,2,1,TA,5,0,2001.0,3,710,250,66,0,Y,5,2009,Normal,390946
134,60,CollgCr,1Story,89.7,11450,10,8,1945,1953,TA,Ex,1414,1484,1713,2,1,4,1,Gd,7,2,1946.0,1,310,250,133,0,Y,11,2008,Normal,455992
135,50,BrkSide,2Story,,10169,4,5,1972,1985,TA,TA,1210,1396,1755,1,0,1,2,Gd,5,2,1972.0,3,659,0,57,0,Y,5,2007,Normal,355597
136,70,Mitchel,1Story,75.3,13191,3,6,1920,1925,TA,Ex,1667,1657,1807,2,1,3,2,Fa,6,2,,0,0,250,80,0,Y,2,2006,Normal,352003
137,40,Edwards,SLvl,108.6,10631,5,9,1915,1953,Gd,TA,1028,1505,1622,1,0,4,1,TA,8,0,1919.0,2,568,150,148,0,Y,11,2007,Partial,343574
138,80,Somerst,1Story,93.3,6936,6,6,1981,1996,Gd,TA,843,824,1012,3,1,5,1,TA,8,0,1982.0,1,323,0,134,0,Y,2,2008,Normal,429285
139,70,Gilbert,2Story,,6096,8,4,1907,1911,TA,TA,1009,2018,2049,3,1,1,1,Fa,5,0,,0,0,250,140,0,Y,1,2010,Normal,409199
140,90,Somerst,1Story,33.3,7341,9,4,1949,1972,Gd,TA,947,1485,1700,3,0,2,2,TA,5,0,1953.0,3,847,0,76,0,N,6,2009,Normal,507223
141,70,OldTown,1Story,71.9,11433,4,7,1935,1970,TA,Gd,1264,1844,2158,3,0,2,1,TA,6,0,1936.0,2,601,0,96,0,Y,7,2008,Normal,371984
142,30,Mitchel,1Story,104.3,10387,4,5,1901,1915,Gd,Gd,577,898,1260,2,1,3,1,Gd,7,1,,0,0,0,169,0,Y,4,2006,Normal,306594
143,60,Mitchel,SLvl,52.9,11404,10,8,1958,1991,TA,TA,663,540,981,2,1,1,1,Gd,4,2,,0,0,0,174,0,Y,11,2007,Normal,360607
144,70,Edwards,2Story,71.8,12603,5,8,2007,2010,TA,Fa,814,1059,1609,2,1,5,1,TA,9,0,2010.0,2,598,100,11,0,Y,4,2010,Family,342997
145,20,BrkSide,1Story,73.6,7865,4,2,1907,1936,Gd,Fa,1664,1986,2222,2,1,5,2,Gd,9,2,1907.0,2,558,0,167,0,Y,12,2006,Normal,347444
146,20,Edwards,1Story,90.7,16656,10,7,1990,2001,Gd,NA,922,1589,1827,1,0,2,1,Gd,6,2,,0,0,0,178,0,Y,8,2009,Normal,399664
147,20,Sawyer,1Story,,9376,6,4,1959,1960,Gd,Gd,727,1086,1554,3,1,3,2,TA,8,0,1959.0,3,830,0,188,0,Y,3,2008,Normal,387917
148,30,Gilbert,2Story,50.9,8680,10,6,1980,1993,TA,Gd,1243,1108,1332,2,0,3,1,Ex,5,0,1984.0,2,688,150,53,0,Y,5,2007,Normal,481973
149,90,Somerst,1Story,82.5,12526,10,4,1910,1946,TA,TA,1977,1654,2594,3,1,1,1,TA,5,1,1911.0,1,262,250,100,0,Y,1,2010,Normal,521865
150,30,CollgCr,1Story,53.6,2787,10,4,1996,2010,Gd,TA,1149,840,1256,1,0,5,1,Ex,9,2,,0,0,0,8,400,Y,11,2007,Abnorml,457696
